"Riqueza","Manejo","Perturbación","Nivel_perturbación","Tipo_de_permanencia","Permanencia_promedio","Permanencia_mediana","Riesgo_absoluto","Riesgo_relativo"
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0,"Maíz",0.401094191914691,0.401063330841724,0.00860165456724597,0.0214454727608608
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0,"Frijol",0.401094191914691,0.401063330841724,0.00860165456724597,0.0214454727608608
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0,"Calabaza",0.401094191914691,0.401063330841724,0.00860165456724597,0.0214454727608608
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0,"Quelites",0.25,0.25,9.25185853854297e-18,3.70074341541719e-17
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0,"Conjunta",0.314754653677725,0.314741427503596,0.00368642338596256,0.0117120536357091
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.1,"Maíz",0.407720286831536,0.388247321897722,0.106876111933092,0.262130964254059
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.1,"Frijol",0.41384474415045,0.389127101953008,0.113008015832518,0.273068626410861
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.1,"Calabaza",0.416980611102013,0.390090173689075,0.101620034066531,0.243704458578938
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.1,"Quelites",0.252047793212713,0.250118632435079,0.00918660258277718,0.0364478596129753
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.1,"Conjunta",0.32083521176149,0.309708160361944,0.0450217701364966,0.14032677363969
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.14,"Maíz",0.397905242159176,0.386116196398222,0.104647299719719,0.262995529166355
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.14,"Frijol",0.409290848293389,0.386116196398222,0.104183515439521,0.254546408437747
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.14,"Calabaza",0.403775112587622,0.388218460098894,0.097826971126654,0.242280834248854
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.14,"Quelites",0.239790659471313,0.250362345114597,0.0375142626854197,0.156445888126463
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.14,"Conjunta",0.309317245259647,0.304620200317103,0.0499465447599031,0.161473521199818
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.25,"Maíz",0.278968614477212,0.302855354919925,0.114232289005719,0.409480791306186
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.25,"Frijol",0.292129308505617,0.338239443106805,0.113806569316078,0.389576006249609
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.25,"Calabaza",0.334236983991099,0.360677205662102,0.0963232584664613,0.288188510189005
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.25,"Quelites",0.130696028528223,0.131963326894112,0.0170829429887953,0.13070743756461
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.25,"Conjunta",0.202487619946128,0.220165806012054,0.0438078388801838,0.216348233496146
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.5,"Maíz",0.0623568791636291,0.0506713411060895,0.0619234459949505,0.993049152323013
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.5,"Frijol",0.0997340223639569,0.078772329589168,0.094030570058448,0.9428133733071
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.5,"Calabaza",0.192361198054316,0.185953966583656,0.114989331181578,0.59777820238523
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.5,"Quelites",0.107963183995924,0.1092443905352,0.0263024398701494,0.243624158686746
"Maíz-Frijol-Calabaza","Desyerbe","Sequía",0.5,"Conjunta",0.10867825977183,0.111275354899785,0.0425846311973375,0.391841305581666
"Maíz-Frijol","Desyerbe","Sequía",0,"Maíz",0.401021592789941,0.401213820022673,0.00859791939301728,0.0214400410042782
"Maíz-Frijol","Desyerbe","Sequía",0,"Frijol",0.401021592789941,0.401213820022673,0.00859791939301728,0.0214400410042782
"Maíz-Frijol","Desyerbe","Sequía",0,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe","Sequía",0,"Quelites",0.4,0.4,2.67563306873912e-17,6.6890826718478e-17
"Maíz-Frijol","Desyerbe","Sequía",0,"Conjunta",0.400291883654269,0.400346805720764,0.00245654839800494,0.00613689284823634
"Maíz-Frijol","Desyerbe","Sequía",0.1,"Maíz",0.416763448616919,0.384699223004952,0.122991374897405,0.295110752407791
"Maíz-Frijol","Desyerbe","Sequía",0.1,"Frijol",0.420993752942656,0.384699223004952,0.128401524303047,0.304996269910297
"Maíz-Frijol","Desyerbe","Sequía",0.1,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe","Sequía",0.1,"Quelites",0.395158094728439,0.4,0.0139754785987674,0.0353668032749568
"Maíz-Frijol","Desyerbe","Sequía",0.1,"Conjunta",0.4018738897331,0.395628349429986,0.0389363853234185,0.0968870740750976
"Maíz-Frijol","Desyerbe","Sequía",0.14,"Maíz",0.403749503614255,0.383399487645955,0.11852816768962,0.29356857811239
"Maíz-Frijol","Desyerbe","Sequía",0.14,"Frijol",0.412288590378981,0.385227534146942,0.120248163817119,0.291660178387634
"Maíz-Frijol","Desyerbe","Sequía",0.14,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe","Sequía",0.14,"Quelites",0.393893076554298,0.4,0.0168995942833676,0.042904014539179
"Maíz-Frijol","Desyerbe","Sequía",0.14,"Conjunta",0.395662773901543,0.392555380388092,0.0374936733494216,0.0947616905672091
"Maíz-Frijol","Desyerbe","Sequía",0.25,"Maíz",0.214546445969187,0.251463879924612,0.0925351427068047,0.431305875465746
"Maíz-Frijol","Desyerbe","Sequía",0.25,"Frijol",0.221236121543646,0.25859584837202,0.0904977561442692,0.409055065297805
"Maíz-Frijol","Desyerbe","Sequía",0.25,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe","Sequía",0.25,"Quelites",0.269381745811756,0.274068118819661,0.0124509993980697,0.0462206500316114
"Maíz-Frijol","Desyerbe","Sequía",0.25,"Conjunta",0.243112735877012,0.245537383821931,0.0320382134066186,0.131783360880058
"Maíz-Frijol","Desyerbe","Sequía",0.5,"Maíz",0.0594072730378727,0.0492242091201727,0.0552686725193249,0.930335120484162
"Maíz-Frijol","Desyerbe","Sequía",0.5,"Frijol",0.0936409350684058,0.0816636855249936,0.0829692896089576,0.886036534645319
"Maíz-Frijol","Desyerbe","Sequía",0.5,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe","Sequía",0.5,"Quelites",0.218004296170697,0.217558460101984,0.0159757508373739,0.0732818165421149
"Maíz-Frijol","Desyerbe","Sequía",0.5,"Conjunta",0.163377677575765,0.163155427431976,0.029998653226183,0.183615373111613
"Maíz-Calabaza","Desyerbe","Sequía",0,"Maíz",0.401083003650696,0.400720899198329,0.00867503368668341,0.0216290234383467
"Maíz-Calabaza","Desyerbe","Sequía",0,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe","Sequía",0,"Calabaza",0.401083003650696,0.400720899198329,0.00867503368668341,0.0216290234383467
"Maíz-Calabaza","Desyerbe","Sequía",0,"Quelites",0.25,0.25,1.18350172082288e-17,4.73400688329152e-17
"Maíz-Calabaza","Desyerbe","Sequía",0,"Conjunta",0.300361001216899,0.300240299732776,0.00289167789556114,0.0096273413786931
"Maíz-Calabaza","Desyerbe","Sequía",0.1,"Maíz",0.406707537881506,0.387949802704021,0.107649114395943,0.264684335472795
"Maíz-Calabaza","Desyerbe","Sequía",0.1,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe","Sequía",0.1,"Calabaza",0.417630245676997,0.390429700071222,0.101714710253676,0.24355206862183
"Maíz-Calabaza","Desyerbe","Sequía",0.1,"Quelites",0.252052470327215,0.250118657753227,0.00918958143707242,0.0364590016719237
"Maíz-Calabaza","Desyerbe","Sequía",0.1,"Conjunta",0.30492540816037,0.296822566365659,0.0345874137852152,0.113429097279504
"Maíz-Calabaza","Desyerbe","Sequía",0.14,"Maíz",0.395881074783987,0.384991053715163,0.105783881872006,0.267211262699857
"Maíz-Calabaza","Desyerbe","Sequía",0.14,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe","Sequía",0.14,"Calabaza",0.403381729429128,0.388300655103726,0.0985571252345075,0.244327191947903
"Maíz-Calabaza","Desyerbe","Sequía",0.14,"Quelites",0.241057357041311,0.25036260787775,0.0359393779166695,0.149090566485015
"Maíz-Calabaza","Desyerbe","Sequía",0.14,"Conjunta",0.292908782945261,0.291185845239078,0.0425514646096032,0.145272067917319
"Maíz-Calabaza","Desyerbe","Sequía",0.25,"Maíz",0.280898935060513,0.302866660866762,0.114290249505942,0.406873203279753
"Maíz-Calabaza","Desyerbe","Sequía",0.25,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe","Sequía",0.25,"Calabaza",0.336208163760697,0.361684101298451,0.0948826868548985,0.282214107455265
"Maíz-Calabaza","Desyerbe","Sequía",0.25,"Quelites",0.130400523639786,0.131725939817458,0.0169541293397106,0.130015807195254
"Maíz-Calabaza","Desyerbe","Sequía",0.25,"Conjunta",0.187294031130782,0.199134598026767,0.0343542175724361,0.183423985083901
"Maíz-Calabaza","Desyerbe","Sequía",0.5,"Maíz",0.0614100435739775,0.0491555142661179,0.0621196733997061,1.01155559879833
"Maíz-Calabaza","Desyerbe","Sequía",0.5,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe","Sequía",0.5,"Calabaza",0.19044493258126,0.185892702941771,0.116904772984559,0.613850793507866
"Maíz-Calabaza","Desyerbe","Sequía",0.5,"Quelites",0.108001697811132,0.109753918455487,0.0264673165758001,0.245063893551793
"Maíz-Calabaza","Desyerbe","Sequía",0.5,"Conjunta",0.107944941239985,0.114742463900317,0.0383099418011681,0.354902613879762
"Monocultivo Maíz","Desyerbe","Sequía",0,"Maíz",0.401011518391793,0.401027527313846,0.00865160721528001,0.0215744606289021
"Monocultivo Maíz","Desyerbe","Sequía",0,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0,"Quelites",0.4,0.4,2.55665592292419e-17,6.39163980731048e-17
"Monocultivo Maíz","Desyerbe","Sequía",0,"Conjunta",0.400168586398632,0.400171254552308,0.00144193453588,0.00360331766382981
"Monocultivo Maíz","Desyerbe","Sequía",0.1,"Maíz",0.416675992957091,0.384836942284965,0.123146451856333,0.295544869245718
"Monocultivo Maíz","Desyerbe","Sequía",0.1,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.1,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.1,"Quelites",0.395155575608811,0.4,0.0139812102629765,0.0353815335679771
"Monocultivo Maíz","Desyerbe","Sequía",0.1,"Conjunta",0.398323482527099,0.397472823714161,0.0260738529903746,0.0654589903285471
"Monocultivo Maíz","Desyerbe","Sequía",0.14,"Maíz",0.402577583304673,0.381594108119331,0.119110492438083,0.295869659359398
"Monocultivo Maíz","Desyerbe","Sequía",0.14,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.14,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.14,"Quelites",0.393753270482718,0.4,0.0169029656993159,0.0429278102975344
"Monocultivo Maíz","Desyerbe","Sequía",0.14,"Conjunta",0.392049559579564,0.395243049271886,0.0272475732572123,0.0695003286993428
"Monocultivo Maíz","Desyerbe","Sequía",0.25,"Maíz",0.21436498015818,0.251381831287302,0.0924162287133135,0.43111626089821
"Monocultivo Maíz","Desyerbe","Sequía",0.25,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.25,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.25,"Quelites",0.269337560200523,0.274059902470798,0.0125023685126228,0.0464189565811569
"Monocultivo Maíz","Desyerbe","Sequía",0.25,"Conjunta",0.243972836988472,0.243242364680841,0.0240621019379716,0.0986261513166262
"Monocultivo Maíz","Desyerbe","Sequía",0.5,"Maíz",0.0586244037841095,0.0483920154945844,0.05545153923076,0.945878092593761
"Monocultivo Maíz","Desyerbe","Sequía",0.5,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.5,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe","Sequía",0.5,"Quelites",0.217738351807634,0.217713213601274,0.0162300602919108,0.0745392814686573
"Monocultivo Maíz","Desyerbe","Sequía",0.5,"Conjunta",0.171538226099408,0.172683726231101,0.0234556330311964,0.136737061846516
"Monocultivo Calabaza","Desyerbe","Sequía",0,"Maíz",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0,"Frijol",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0,"Calabaza",0.401065028112778,0.400953364660603,0.00868809918553823,0.0216625698491347
"Monocultivo Calabaza","Desyerbe","Sequía",0,"Quelites",0.25,0.25,8.82130099749312e-18,3.52852039899725e-17
"Monocultivo Calabaza","Desyerbe","Sequía",0,"Conjunta",0.280213005622556,0.280190672932121,0.00173761983710765,0.00620106776716925
"Monocultivo Calabaza","Desyerbe","Sequía",0.1,"Maíz",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.1,"Frijol",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.1,"Calabaza",0.417946887386317,0.390089797715444,0.102586459376039,0.245453339819268
"Monocultivo Calabaza","Desyerbe","Sequía",0.1,"Quelites",0.252050041709097,0.25011865774601,0.0091882208390726,0.0364539548447176
"Monocultivo Calabaza","Desyerbe","Sequía",0.1,"Conjunta",0.28453903590496,0.278073722601529,0.0211965279364605,0.0744942705982191
"Monocultivo Calabaza","Desyerbe","Sequía",0.14,"Maíz",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.14,"Frijol",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.14,"Calabaza",0.403291850465958,0.387912426667506,0.0984563806485073,0.244131837860726
"Monocultivo Calabaza","Desyerbe","Sequía",0.14,"Quelites",0.241055224637171,0.250362581580856,0.0359389612065107,0.149090156666817
"Monocultivo Calabaza","Desyerbe","Sequía",0.14,"Conjunta",0.272520994693708,0.275737899094684,0.0359878704607474,0.132055405497088
"Monocultivo Calabaza","Desyerbe","Sequía",0.25,"Maíz",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.25,"Frijol",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.25,"Calabaza",0.337675020666031,0.362142004945,0.0952750907369781,0.282150247741326
"Monocultivo Calabaza","Desyerbe","Sequía",0.25,"Quelites",0.130492762336932,0.131723521158196,0.0163275352636333,0.125122152150291
"Monocultivo Calabaza","Desyerbe","Sequía",0.25,"Conjunta",0.168399148407572,0.174938063280672,0.0220420904413196,0.130891935320075
"Monocultivo Calabaza","Desyerbe","Sequía",0.5,"Maíz",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.5,"Frijol",NA,NA,NA,NA
"Monocultivo Calabaza","Desyerbe","Sequía",0.5,"Calabaza",0.193641205155571,0.187891258821812,0.118840333373286,0.613714076390971
"Monocultivo Calabaza","Desyerbe","Sequía",0.5,"Quelites",0.107932204685162,0.109794594496167,0.0264122627313612,0.244711602143269
"Monocultivo Calabaza","Desyerbe","Sequía",0.5,"Conjunta",0.120496505366186,0.130252664317647,0.0353878689239292,0.293683777935189
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0,"Maíz",0.633197108873506,0.633231246465987,0.00453067602747771,0.00715523801986089
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0,"Frijol",0.633197108873506,0.633231246465987,0.00453067602747771,0.00715523801986089
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0,"Calabaza",0.133197108873506,0.133231246465987,0.00453067602747771,0.0340148225873309
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0,"Quelites",0.25,0.25,6.83295037103475e-18,2.7331801484139e-17
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0,"Conjunta",0.342798760945788,0.342813391342566,0.00194171829749044,0.00566430955623412
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Maíz",0.61913774003001,0.6296167375818,0.0497637831502555,0.0803759485697695
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Frijol",0.625157404253038,0.632402167668849,0.0457534022269164,0.0731870116480254
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Calabaza",0.128951093986873,0.133988693179212,0.0330938968275753,0.25663913197157
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Quelites",0.254531665029011,0.25,0.0120326188636654,0.0472735636341906
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Conjunta",0.341707492142694,0.342398961404114,0.0169800848049792,0.0496918715434209
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Maíz",0.431161923023016,0.445296036736126,0.0597350028274744,0.138544244372631
